220,100,80,48000,
440,100,80,48000,
880,100,80,48000,
1760,100,80,48000,
3520,100,80,48000,
7040,100,80,48000,
14080,100,80,48000,
28160,100,80,48000,
36320,100,80,48000,
48000,100,80,48000,
220,100,60,48000,
440,100,60,48000,
880,100,60,48000,
1760,100,60,48000,
3520,100,60,48000,
7040,100,60,48000,
14080,100,60,48000,
28160,100,60,48000,
36320,100,60,48000,
48000,100,60,48000,
220,100,40,48000,
440,100,40,48000,
880,100,40,48000,
1760,100,40,48000,
3520,100,40,48000,
7040,100,40,48000,
14080,100,40,48000,
28160,100,40,48000,
36320,100,40,48000,
48000,100,40,48000,
220,100,20,48000,
440,100,20,48000,
880,100,20,48000,
1760,100,20,48000,
3520,100,20,48000,
7040,100,20,48000,
14080,100,20,48000,
28160,100,20,48000,
36320,100,20,48000,
48000,100,20,48000,
